             AIRFOIL_NAME,          CLDMAX,      DELALP, FLAG
             fx78k150.dat,   121.207153502,        0.25, 0000 
             fx78k161.dat,    97.925000000,        0.50, 0000 
            fx78pk188.dat,   123.820816864,        0.25, 0000 
             fx79k144.dat,   114.041095890,       11.00, 0000 
             fx79l100.dat,    62.054933876,        6.50, 0000 
             fx79l120.dat,    68.124428179,        7.00, 0000 
            fx79w151a.dat,   125.532934132,        1.50, 0000 
            fx79w470a.dat,    23.886348792,        9.25, 0000 
            fx79w660a.dat,     8.504519848,        2.50, 0000 
              fx80080.dat,   117.976424361,        6.50, 0000 
             fx83w108.dat,   155.577264654,       13.00, 0000 
             fx83w160.dat,   128.901098901,       15.50, 0000 
             fx83w227.dat,    84.740259740,        7.75, 0000 
             fx84w097.dat,   112.555366269,        9.50, 0000 
             fx84w127.dat,   137.904903418,       14.50, 0000 
             fx84w140.dat,   138.787878788,        1.50, 0000 
             fx84w150.dat,   143.692509855,       15.00, 0000 
             fx84w175.dat,   130.179640719,        6.25, 0000 
             fx84w218.dat,    93.535242291,       17.00, 0000 
              fxl142k.dat,    73.612228479,        7.75, 0000 
              fxlv152.dat,    63.333333333,       10.75, 0000 
                 fxm2.dat,   115.372516556,        8.00, 0000 
             fxs02196.dat,   130.236869207,        0.75, 0000 
             fxs03182.dat,   133.562801932,        0.50, 0000 
             fxs21158.dat,   123.662851197,        6.00, 0000 
             geminism.dat,   100.490867580,       12.75, 0000 
                giiia.dat,    69.711042312,        7.75, 0000 
                giiib.dat,    62.055692056,        6.75, 0000 
                giiic.dat,    65.569917744,        8.50, 0000 
                giiid.dat,    62.447183099,        4.00, 0000 
                giiie.dat,    71.545801527,        7.25, 0000 
                giiif.dat,    68.123752495,        6.75, 0000 
                giiig.dat,    74.353876740,        6.50, 0000 
                giiih.dat,    69.907563025,        3.00, 0000 
                giiii.dat,    69.916943522,        8.50, 0000 
                giiij.dat,    76.295731707,       10.75, 0000 
                giiik.dat,    75.302593660,        9.75, 0000 
                giiil.dat,    76.726415094,        9.75, 0000 
                giiim.dat,    82.027027027,        9.50, 0000 
                giiin.dat,    85.821678322,        8.25, 0000 
         glennmartin2.dat,    87.410788382,       12.00, 0000 
         glennmartin3.dat,    81.522327470,        9.25, 0000 
         glennmartin4.dat,    77.851296044,        6.25, 0000 
